Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2025-01-02,243.5821990966797,257.2020568847656,220.22000122070312,296.7448425292969,171.8699951171875,356.7381896972656,330.1412658691406,58.310691833496094,145.10060119628906,110.81999969482422,572.1329345703125,386.0103454589844,224.31947326660156,217.04013061523438,142.87632751464844,237.30516052246094,61.386993408203125,290.8308410644531,129.0633544921875,98.32060241699219,417.74237060546875,73.29900360107422,138.29727172851562,163.95205688476562,332.4334716796875,239.9084930419922,502.3630676269531,313.8718566894531,38.885318756103516,89.53704071044922
2025-01-03,243.0927276611328,259.12652587890625,224.19000244140625,302.0771484375,169.89999389648438,360.724365234375,332.37774658203125,58.46963119506836,146.22808837890625,111.16000366210938,577.2675170898438,386.7257995605469,225.31414794921875,219.71438598632812,143.04498291015625,240.54833984375,61.29765319824219,293.0877990722656,129.23251342773438,98.29085540771484,422.5028381347656,72.9408187866211,144.4567108154297,163.11245727539062,335.8061218261719,241.3027801513672,510.81695556640625,314.3810119628906,38.93367004394531,90.31303405761719
2025-01-06,244.73092651367188,256.517578125,227.61000061035156,300.8811340332031,170.77999877929688,361.1308898925781,330.011474609375,58.38022994995117,145.64454650878906,111.05000305175781,580.511474609375,386.91461181640625,220.55958557128906,219.734130859375,142.51919555664062,239.3755645751953,60.364540100097656,290.5027160644531,129.65045166015625,98.86589050292969,426.99383544921875,71.63742065429688,149.41624450683594,158.63780212402344,337.08331298828125,240.8944549560547,511.48406982421875,312.51416015625,38.30508804321289,90.95968627929688
2025-01-07,241.94400024414062,259.95977783203125,222.11000061035156,301.0206604003906,172.50999450683594,359.9410095214844,324.4202575683594,58.53916931152344,147.94898986816406,111.38999938964844,577.257568359375,381.8070373535156,219.45550537109375,221.0071258544922,145.0687713623047,241.6813507080078,60.394317626953125,287.67901611328125,132.11830139160156,100.15475463867188,421.5247802734375,71.72695922851562,140.12710571289062,159.32925415039062,333.6707763671875,240.6952667236328,512.0616455078125,311.1464538574219,37.6378173828125,90.3428726196289
2025-01-08,242.43344116210938,262.092529296875,222.1300048828125,301.8479309082031,171.75999450683594,358.02728271484375,326.38714599609375,58.807376861572266,148.65121459960938,109.76000213623047,577.1580810546875,384.75830078125,218.99794006347656,220.23739624023438,141.14022827148438,241.6416015625,61.2579460144043,285.2530212402344,133.86964416503906,98.9947738647461,423.7104187011719,70.93099212646484,140.0971221923828,160.11947631835938,336.8039245605469,241.7808380126953,522.2879638671875,312.07489013671875,37.65715789794922,91.32778930664062
2025-01-10,236.58987426757812,260.12841796875,218.94000244140625,292.3294982910156,172.0,348.0421142578125,317.35137939453125,58.35042953491211,151.46005249023438,108.6500015258789,557.2368774414062,387.43133544921875,217.0284881591797,216.85263061523438,140.931884765625,238.40155029296875,60.62263488769531,280.6893615722656,130.56594848632812,98.39991760253906,418.11163330078125,70.84144592285156,135.8975067138672,156.62271118164062,329.4400329589844,231.4829559326172,518.4742431640625,307.1930847167969,37.21230697631836,92.52161407470703
2025-01-13,234.14256286621094,268.0246276855469,218.4600067138672,296.0372009277344,170.57000732421875,359.4452209472656,318.5694580078125,58.37029266357422,153.64581298828125,108.08000183105469,560.1723022460938,386.7257995605469,217.9336395263672,214.5336151123047,143.32275390625,242.71499633789062,61.198387145996094,282.0018005371094,133.93931579589844,100.11510467529297,416.35516357421875,71.7170181274414,133.21774291992188,156.89930725097656,335.38702392578125,232.37930297851562,538.8372192382812,306.4044494628906,37.51740264892578,91.05917358398438
2025-01-14,233.02378845214844,264.95941162109375,217.75999450683594,299.36614990234375,167.02000427246094,368.43878173828125,323.0324401855469,58.93651580810547,155.17880249023438,108.12000274658203,568.7099609375,390.3031005859375,217.3368377685547,214.87899780273438,143.60052490234375,245.9550323486328,61.58552932739258,279.96356201171875,136.5364990234375,98.79649353027344,414.8382263183594,70.81159210205078,131.7478790283203,157.78829956054688,340.8949890136719,235.96461486816406,541.4261474609375,308.5707702636719,37.67487335205078,90.32298278808594
2025-01-15,237.60874938964844,266.7846374511719,223.35000610351562,311.2865905761719,166.1999969482422,371.7308349609375,320.6561584472656,59.58220291137695,156.59312438964844,108.18000030517578,602.9302368164062,403.5291748046875,218.3712921142578,217.12893676757812,143.81878662109375,250.80516052246094,61.3175048828125,280.6794128417969,137.10369873046875,99.23271942138672,425.4569091796875,70.71209716796875,136.22747802734375,157.69940185546875,346.1734313964844,239.002197265625,541.1074829101562,315.7486877441406,37.576454162597656,90.87014770507812
2025-01-16,228.00930786132812,267.2707214355469,220.66000366210938,310.4493713378906,168.92999267578125,377.34307861328125,319.49798583984375,59.42326354980469,157.63160705566406,106.45999908447266,609.9653930664062,406.74871826171875,221.50453186035156,219.72425842285156,146.5965576171875,252.71340942382812,61.79399108886719,278.1341247558594,138.496826171875,99.83749389648438,423.7303466796875,70.75189971923828,133.55772399902344,158.5390167236328,353.3976745605469,241.38246154785156,508.4172058105469,316.7170715332031,37.733924865722656,90.83036041259766
